name,street,city,distance_km,phone,fax,email,website
Alfred Wahl GmbH & Co. KG,Weidenauer Str. 217-225,57076 Siegen,91.15 km,+49-271-4020,,bmw.siegen@wahl-group.de,https://www.youtube.com/user/BMWDeutschland
Baum-Automobile GmbH & Co. KG,Heerstr. 87,53474 Bad Neuenahr-Ahrweiler,94.1 km,+49-2641-75770,,info@baum-automobile.de,https://www.youtube.com/user/BMWDeutschland
Hakvoort GmbH,Im Laach 4,53783 Eitorf,94.29 km,+49-2243-92220,,kontakt@hakvoort.de,https://www.youtube.com/user/BMWDeutschland
Autohaus E. Funke Inhaber Ralf Funke e.K.,Fuldaer Str. 3,35274 Kirchhain,95.46 km,+49-6422-4055,,info@bmw-service-funke.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Kainz GmbH & Co. KG Wittlich,Max-Planck-Str. 21,54516 Wittlich,96.05 km,+49-6571-95330,,info.wittlich@kainz-gruppe.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Fuchs Inh. Jürgen Fuchs e. K.,Im Aller 1,97816 Lohr/Main,96.3 km,+49-9352-87570,,info@autohaus-fuchs.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Fulda Krah & Enders GmbH,,36381 Schlüchtern,96.93 km,+49-6661-96010,,info@bmw-krah-enders-schluechtern.de,https://www.autohaus-krah-enders.de/
Autohaus Kaltenbach GmbH,Mühlenweg 1,51545 Waldbröl,98.35 km,+49-2291-92430,,info.waldbroel@kaltenbach-gruppe.de,https://www.youtube.com/user/BMWDeutschland
Hakvoort GmbH,Hauptstr. 21,53639 Königswinter,101.87 km,+49-2223-92330,,kontakt@hakvoort.de,https://www.youtube.com/user/BMWDeutschland
Müller Automotive GmbH,Neue Buchener Str. 28,74722 Buchen-Hettingen,101.98 km,+49-6281-52850,,team@bmw-mueller.com,https://www.youtube.com/user/BMWDeutschland
Günter Reuter GmbH,Am Bäuerleinsberg 2,97837 Erlenbach,102.47 km,+49-9391-4013+14,,guenter.reuter@bmw-reuter.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Kainz GmbH & Co. KG Daun,Hamsterweg 3,54550 Daun,103.09 km,+49-6592-96900,,info.daun@kainz-gruppe.de,https://www.youtube.com/user/BMWDeutschland
Müller-Dynamic GmbH,Werschweiler Str. 52-54,66606 St. Wendel,103.54 km,+49-6851-93120,,kontakt@mueller-bmw.com,https://www.youtube.com/user/BMWDeutschland
Autohaus Lauterbach Kreis GmbH,Fritz-Ebel-Allee 19,36341 Lauterbach,103.95 km,+49-6641-911640,,info@bmw-autohaus-lauterbach.de,https://www.youtube.com/user/BMWDeutschland
Kaltenbach Automobile GmbH & Co. KG,Im Langen Feld 8,57462 Olpe,105.76 km,+49-2761-90280,,info.olpe@kaltenbach-gruppe.de,https://www.youtube.com/user/BMWDeutschland
Hakvoort GmbH,Zeithstr. 89,53721 Siegburg,107.82 km,+49-2241-969290,,kontakt-Siegburg@hakvoort.de,https://www.youtube.com/user/BMWDeutschland
BMW AG Niederlassung Bonn,Vorgebirgsstr. 95,53119 Bonn,110.09 km,+49-228-6070,,nl.bonn@bmw.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Kaltenbach GmbH & Co. KG,Robert-Bosch-Str. 4,51674 Wiehl,110.71 km,+49-2261-94720,,info.wiehl@kaltenbach-gruppe.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Köhler GmbH,Bodelschwinghstr. 88,97753 Karlstadt,110.71 km,+49-9353-97110,,andre.mehrlich@koehler-bmw.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Schmauser GmbH,Zum Schneekasten 10,97941 Tauberbischofsheim,112.5 km,+49-9341-92500,,info@bmw-service-schmauser.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Fulda Krah & Enders GmbH,Frankfurter Str. 127,36043 Fulda,113.33 km,+49-661-94790,,info@bmw-krah-enders-fulda.de,https://www.autohaus-krah-enders.de/
Autohaus Kaltenbach GmbH & Co. KG,Wigeystr. 16,57368 Lennestadt,114.46 km,+49-2723-71909-0,,info.lennestadt@kaltenbach-gruppe.de,https://www.youtube.com/user/BMWDeutschland
Alfred Wahl GmbH & Co. KG,Röddenauer Str. 14,35066 Frankenberg/ Eder,114.76 km,+49-6451-50010,,bmw.frankenberg@wahl-group.de,https://www.youtube.com/user/BMWDeutschland
Alfred Wahl GmbH & Co. KG,In der Aue 1,34613 Schwalmstadt,115.25 km,+49-6691-9632-0,,bmw.schwalmstadt@wahl-group.de,https://www.youtube.com/user/BMWDeutschland
Müller-Dynamic GmbH,Ruwerer Str. 1A,54292 Trier,116.64 km,+49-651-84088-0,,kontakt@mueller-bmw.com,https://www.youtube.com/user/BMWDeutschland
Kaltenbach Automobile GmbH & Co. KG,Maarweg 1,51491 Overath,117.46 km,+49-2206-90140,,info.overath@kaltenbach-gruppe.de,https://www.youtube.com/user/BMWDeutschland
AKG Automobile GmbH,Heerstr. 18,58540 Meinerzhagen,119.47 km,+49-2354-90930,,info.meinerzhagen@kaltenbach-gruppe.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Rolf Horn GmbH,Eifelring 44-46,53879 Euskirchen,120.72 km,+49-2251-94510,,info@rolfhorn.de,https://www.rolfhorn.de/
Müller-Dynamic GmbH,In Bommersfeld 2,66822 Lebach,122.34 km,+49-6881-92020,,kontakt@mueller-bmw.com,https://www.youtube.com/user/BMWDeutschland
Autohaus Schaal GmbH,Graf-Zeppelin-Str. 4,54634 Bitburg,122.55 km,+49-6561-94700,,info@bmw-schaal.de,https://www.autohaus-schaal.de/
Wiemer Automobile GmbH,Humboldtstr. 137,51145 Köln,122.87 km,+49-2203-37020,,mail@wiemer-automobile.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Rhein Würzburg Zw.-Nl. der AH Heermann u. Rhein GmbH,Am Wöllerspfad 7,97922 Lauda-Königshofen,123.48 km,+49-9343-60030,,info@rhein-tauberfranken.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Rolf Horn GmbH,Industriestr. 37-39,50389 Wesseling,123.72 km,+49-2232-18970,,info@rolfhorn.de,https://www.rolfhorn.de/
Müller-Dynamic GmbH,Wolfsborn 63-65,66679 Losheim am See,124.09 km,+49-6872-922640,,kontakt@mueller-bmw.com,https://www.youtube.com/user/BMWDeutschland
Autohaus Schaal GmbH,Industriestr. 2,54614 Schönecken,126.41 km,+49-6553-92500,,info@bmw-schaal.de,https://www.autohaus-schaal.de/
Autohaus Kaltenbach GmbH,Mülheimer Str. 185-195,51469 Bergisch Gladbach,128.04 km,+49-2202-95380,,info.gladbach@kaltenbach-gruppe.de,https://www.youtube.com/user/BMWDeutschland
AH Rhein Würzburg Zw.-Nl. der AH Heermann u. Rhein GmbH,Louis-Pasteur-Str. 14,97076 Würzburg,129.78 km,+49-931-278850,,info@rhein-wuerzburg.de,https://www.youtube.com/user/BMWDeutschland
Auto-Schmidt Rudolf Schmidt e.K. Inh. Elke Schmitt,Industriestr. 3,54439 Saarburg,130.82 km,+49-6581-91750,,info@autoschmidt-saarburg.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Backhaus Inh. Christoph Backhaus e.K.,Bahnhofstr. 27,34537 Bad Wildungen,131.24 km,+49-5621-969480,,info@bmw-backhaus.de,https://www.youtube.com/user/BMWDeutschland
Seifert Automobile GmbH,Würzburger Str. 22,97688 Bad Kissingen,131.3 km,+49-971-69899000,,info@bmwservice-seifert.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Kaltenbach GmbH & Co. KG,Obergraben Hämmern 2,51688 Wipperfürth,131.39 km,+49-2267-88660,,info.wipperfuerth@kaltenbach-gruppe.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Kaltenbach GmbH & Co. KG,Kölner Str. 137,58509 Lüdenscheid,132.83 km,+49-2351-664020,,info.luedenscheid@kaltenbach-gruppe.de,https://www.youtube.com/user/BMWDeutschland
Kaltenbach Automobile GmbH,Gildestr. 26,58791 Werdohl,134.75 km,+49-2392-93905,,info.werdohl@kaltenbach-gruppe.de,https://www.youtube.com/user/BMWDeutschland
Procar Automobile GmbH & Co. KG,Raderthalgürtel 1a,50968 Köln,128.74 km,+49-2234-9150,,koelnwest@bmw-procar.de,https://www.procar-automobile.de/
Autohaus Krah & Enders GmbH,Kleine Industriestr. 5,36251 Bad Hersfeld,135.68 km,+49-6621-50000,,info@bmw-krah-enders-hersfeld.de,https://www.autohaus-krah-enders.de/
Procar Automobile GmbH & Co. KG,Clevischer Ring 129,51063 Köln,132.22 km,+49-221-179510,,koelnnord@bmw-procar.de,https://www.procar-automobile.de/
Autohaus Kaltenbach GmbH & Co. KG,Neuenhaus 104-106,42929 Wermelskirchen,136.74 km,+49-2196-887670,,info.wermelskirchen@kaltenbach-gruppe.de,https://www.youtube.com/user/BMWDeutschland
Procar Automobile Wuppertal GmbH & Co. KG,Overfeldweg 2,51371 Leverkusen,138.9 km,+49-214-86670,,leverkusen@bmw-procar.de,https://www.procar-automobile.de/
Autohaus Lange GmbH & Co. KG,Hauptstr. 168 a,59846 Sundern,139.85 km,+49-2933-2003,,info@bmw-lange.de,https://www.youtube.com/user/BMWDeutschland
Alfred Wahl GmbH & Co. KG,Briloner Landstr. 72,34497 Korbach,139.93 km,+49-5631-97950,,korbach@wahl-group.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Kaltenbach GmbH & Co. KG,Borner Str. 35,42897 Remscheid,140.07 km,+49-2191-463700,,info.remscheid@kaltenbach-gruppe.de,https://www.youtube.com/user/BMWDeutschland
AH Rhein Rhön-Saale Zw.-Nl. der AH Heermann und Rhein GmbH,Ludwig-Elsbett-Straße 1,97616 Salz b. Bad Neustadt/Saale,140.83 km,+49-9771-63530,,info@rhein-bmw.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Rhein Schweinfurt Zw.Nl der AH Heermann u. Rhein GmbH,Amsterdamstr. 3,97424 Schweinfurt,141.33 km,+49-9721-675270,,info@rhein-schweinfurt.de,https://www.youtube.com/user/BMWDeutschland
Tief-Dörfler Automotive GmbH,Am Traugraben 2,97342 Marktsteft,143.3 km,+49-9332-593340,,info@tief-doerfler.de,https://www.tief-doerfler.de/
Proauto Langenfeld e.K.,Schneiderstr. 9,40764 Langenfeld,145.94 km,+49-211-73900,,hellerhof@bmw-procar.de,https://www.procar-automobile.de/
Autohaus Rolf Horn GmbH,Bahnstr. 13-15,52355 Düren,148.09 km,+49-2421-968000,,info@rolfhorn.de,https://www.rolfhorn.de/
Procar Automobile Wuppertal GmbH & Co. KG,Frankfurter Damm 15,42719 Solingen,148.29 km,+49-212-59630,,solingen@bmw-procar.de,https://www.procar-automobile.de/
Alfred Wahl GmbH & Co. KG,Möhnestr. 47,59929 Brilon,148.76 km,+49-2961-96260,,brilon@wahl-group.de,https://www.youtube.com/user/BMWDeutschland
Kohl automobile GmbH,,50126 Bergheim,149.26 km,+49-2271-76030,,info@kohl.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Kaltenbach GmbH,Niedereimerfeld 16,59823 Arnsberg,149.36 km,+49-2932-6266,,info.arnsberg@kaltenbach-gruppe.de,https://www.youtube.com/user/BMWDeutschland
Procar Automobile Wuppertal GmbH & Co. KG,Hembergstr. 5,58636 Iserlohn,149.64 km,+49-2371-78980,,iserlohn@bmw-procar.de,https://www.procar-automobile.de/
Autohaus Schneider GmbH & Co. KG,Wörther Str. 8-12,58332 Schwelm,150.31 km,+49-2336-92820,,info@schneider-schwelm.de,https://www.youtube.com/user/BMWDeutschland
Procar Automobile Düsseldorf GmbH,Lübecker Str. 16,41540 Dormagen,150.68 km,+49-2133-53010,,dormagen@bmw-procar.de,https://www.procar-automobile.de/
Procar Automobile Wuppertal GmbH & Co. KG,Elseyer Straße 77,58119 Hagen,150.77 km,+49-2334-8020-0,,hagen@bmw-procar.de,https://www.procar-automobile.de/
Procar Automobile Wuppertal GmbH & Co. KG,Friedrich-Ebert-Str. 105,42117 Wuppertal,151.62 km,+49-202-25270,,wuppertal@bmw-procar.de,https://www.procar-automobile.de/
Martin Jacoby GmbH & Co. KG,Walder Straße 418,40724 Hilden,149.59 km,+49-2103-5020,,hilden@bmw-procar.de,https://www.procar-automobile.de/
Procar Automobile Düsseldorf GmbH,Willettstr. 7,40822 Mettmann,158.73 km,+49-2104-83340,,mettmann@bmw-procar.de,https://www.procar-automobile.de/
Autohaus Matthes GmbH,Mühlheimer Str. 2,36469 Tiefenort,158.92 km,+49-3695-69790,,info@bmw-matthes.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Matthes GmbH,Herpfer Str. 38,98617 Meiningen,159.9 km,+49-3693-94000,,info@bmw-matthes.de,https://www.youtube.com/user/BMWDeutschland
BMW AG Niederlassung Düsseldorf,Grafenberger Allee 277-287,40237 Düsseldorf,162.51 km,+49-211-909980,,nl.duesseldorf@bmw.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Walter Kühnl GmbH,Zeiler Str. 20,97437 Haßfurt,163.01 km,+49-9521-94770,,info.autohaus@bmw-kuehnl.de,https://www.youtube.com/user/BMWDeutschland
BMW AG Niederlassung Kassel,Scharnhorststr. 14,34125 Kassel,163.54 km,+49-561-570000,,nl.kassel@bmw.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Erwin Schmidt GmbH & Co. KG,Arnsberger Straße 30,59494 Soest,164.52 km,+49-2921-96250,,info.soest@bmw-schmidt.de,https://www.youtube.com/user/BMWDeutschland
BMW AG Niederlassung Dortmund,Nortkirchenstr. 111,44263 Dortmund,164.83 km,+49-231-95060,,NL.Dortmund@bmw.de,https://www.youtube.com/user/BMWDeutschland
Auto-Zentrum Bernhard Ernst GmbH & Co. KG,Crengeldanzstr. 83,58455 Witten,165.01 km,+49-2302-20050,,kontakt.witten@bmw-ernst.de,https://www.youtube.com/user/BMWDeutschland
BMW AG Niederlassung Düsseldorf Filiale Rath,Theodorstr. 279,40472 Düsseldorf,166.37 km,+49-211-909980,,nl.duesseldorf@bmw.de,https://www.youtube.com/user/BMWDeutschland
Kohl automobile GmbH,Neuenhofstr. 160,52078 Aachen,166.64 km,+49-241-568800,,info@kohl.de,https://www.youtube.com/user/BMWDeutschland
Procar Automobile Wuppertal GmbH & Co. KG,Hansastr. 101,59425 Unna,166.95 km,+49-2303-250200,,unna@bmw-procar.de,https://www.procar-automobile.de/
AHAG Bochum GmbH,Hattinger Straße 386 b,44795 Bochum,168.29 km,+49-234-6014000,,kontakt.weitmar@ahag-bochum.de,https://www.youtube.com/user/BMWDeutschland
Cloppenburg GmbH,Burgbernheimer Str. 2,91438 Bad Windsheim,168.67 km,+49-9841-66330,,info@cloppenburg-badwindsheim.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Timmermanns GmbH Niederlassung Neuss,Hammer Landstr. 17,41460 Neuss,164.93 km,+49-2131-96790,,info@timmermanns.de,https://www.youtube.com/user/BMWDeutschland
Ernst & Lappe GmbH,St. Annental 115,45134 Essen,171.26 km,+49-201-7225990,,info@bmw-erla.de,https://www.youtube.com/user/BMWDeutschland
AHAG Bochum GmbH,Porschestraße 4,44809 Bochum,172.48 km,+49-234-6014060,,kontakt.bochum@ahag-bochum.de,https://www.youtube.com/user/BMWDeutschland
Procar Automobile GmbH & Co. KG,Antwerpener Str. 6,41812 Erkelenz,175.69 km,+49-2431-96770,,erkelenz@bmw-procar.de,https://www.procar-automobile.de/
Procar Automobile Wuppertal GmbH & Co. KG,Westring 212c,44579 Castrop-Rauxel,176.22 km,+49-2305-923360,,castrop@bmw-procar.de,https://www.procar-automobile.de/
Autohaus Fulda Krah & Enders GmbH,Westring 32,37269 Eschwege,176.33 km,+49-5651-92090,,info@bmw-krah-enders-eschwege.de,https://www.autohaus-krah-enders.de/
Langenhan GmbH,Rennbahn 74,99817 Eisenach,176.4 km,+49-3691-23880,,ea@bmw-langenhan.de,https://www.langenhan-gruppe.de/
Faba Autowelt GmbH,Krefelder Str. 570,41066 Mönchengladbach,177.24 km,+49-2161-96460,,info@bmw-faba.de,https://www.youtube.com/user/BMWDeutschland
BMW AG Niederlassung Essen Gebrauchte Automobile Zentrum,Berthold-Beitz-Boulevard 522,45141 Essen,177.39 km,+49-201-8318-0,,nl.essen@bmw.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Erwin Schmidt GmbH & Co. KG,Cappenberger Str. 25 b,44534 Lünen,177.97 km,+49-2306-705300,,info@bmw-schmidt.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Pröschel GmbH,Bamberger Str. 59/61,91456 Diespeck,179.18 km,+49-9161-88580,,andre.rossel@bmw-service-proeschel.de,https://www.youtube.com/user/BMWDeutschland
Götze & Gellermann GmbH,Alexanderstr. 1,45472 Mülheim an der Ruhr,176.33 km,+49-208-37570,,info@bmw-philipp.de,https://www.youtube.com/user/BMWDeutschland
Philipp Automobile GmbH,Ruhrorter Str. 53,45478 Mülheim an der Ruhr,179.61 km,+49-203-996460,,info@cloppenburg-duisburg.de,https://www.youtube.com/user/BMWDeutschland
Auto Becker Hans Klausmann GmbH & Co. KG,Glockenspitz 123,47800 Krefeld,180.97 km,+49-2151-51040,,info@auto-becker-klausmann.de,https://www.auto-becker-klausmann.de/
Autosalon Suhl Zw.NL d. AH Matthes GmbH,Hubertusstr. 6,98527 Suhl,184.26 km,+49-3681-800000,,info@bmw-matthes.de,https://www.youtube.com/user/BMWDeutschland
Vogelsang Automobile GmbH & Co. KG,Rottstr. 118,45659 Recklinghausen,184.42 km,+49-2361-91930,,info@vogelsang-automobile.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Kruft GmbH,Werthfeldstr. 1,46117 Oberhausen,184.68 km,+49-208-69070,,kunden.anfrage@bmw-kruft.de,https://www.youtube.com/user/BMWDeutschland
Kohl automobile GmbH,Industriestr. 53,52525 Heinsberg,185.18 km,+49-2452-91350,,info@kohl.de,https://www.youtube.com/user/BMWDeutschland
AHAG Automobil-Handelsges. Egon Gladen GmbH & Co. KG,Kurt-Schumacher-Str. 382,45897 Gelsenkirchen,185.36 km,+49-209-360000,,kontakt@ahag-bmw.de,https://www.ahag-group.de/
