name,address,phone,fax,email,website,latitude,longitude
Günther Autos & Service GmbH,"Limburgstraße 39 , 57319 Bad Berleburg",+49 2751 92590,+49 2751 925920,cg@guenther-autos.de,https://www.volkswagen.de/de/haendler-werkstatt/guenther-autos-service-bad-berleburg.html,51.03767,8.38499
Autohaus Leiss Frankfurt GmbH,"Alt-Rödelheim 2-4 , 60489 Frankfurt",+49 69 7891090,+49 69 78910999,info@autohaus-leiss.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-leiss-frankfurt.html,50.12428,8.61271
Auto Klein GmbH & Co. KG,"Westerbachstraße 234-240 , 65936 Frankfurt",+49 69 3410110,+49 69 341424,info@autoklein.de,https://www.volkswagen.de/de/haendler-werkstatt/auto-klein-frankfurt.html,50.124027,8.5757
Autohaus Brass Vertriebs GmbH & Co. KG Zweigndl. Autohaus Brass Rodgau,"Gutenbergstraße 11 , 63110 Rodgau",+49 6106 2900,+49 6106 290199,info.rodgau@brass-gruppe.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-brass-rodgau.html,50.017673,8.900677
Scherer GmbH & Co. KG,"Goldbacher Straße 85 , 63741 Aschaffenburg",+49 6021 459060,+49 6021 4590612,ServiceInfo.ABV@scherer-gruppe.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-scherer-aschaffenburg.html,49.98741,9.16667
Robert Kunzmann GmbH & Co. KG,"Auhofstraße 29 , 63741 Aschaffenburg",+49 6021 36111720,+49 6021 36111105,info@kunzmann.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-kunzmann-aschaffenburg.html,49.98428,9.15779
Autohaus Gemünden GmbH,"Weißensteinstraße 33 , 97737 Gemünden",+49 9351 97270,+49 9351 972799,vw-gemuenden@mh-autohaus.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-gemuenden.html,50.06456,9.68633
Autohaus Brass Vertriebs GmbH & Co. KG Zweigndl. Autohaus Brass Dietzenbach,"Paul-Brass-Straße 10 , 63128 Dietzenbach",+49 6074 8010,+49 6074 801100,info.dietzenbach@brass-gruppe.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-brass-dietzenbach.html,50.00883,8.79092
Autohaus Hessenkassel GmbH & Co. Vertriebs - KG,"Leipziger Straße 156 , 34123 Kassel",+49 561 50060,+49 561 5006109,hessenkassel@glinicke.dealerdesk.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-hessenkassel-kassel.html,51.304157,9.529017
Autokaufhaus Rhön GmbH,"Paulinenstraße 1b , 97645 Ostheim",+49 9777 91220,+49 9777 912241,info@autokaufhausrhoen.de,https://www.volkswagen.de/de/haendler-werkstatt/autokaufhaus-rhoen-ostheim.html,50.45897,10.23831
Autohaus Otto Horn Inh. Heike Horn e.K.,"Hainbuchenstraße 1 , 65597 Hünfelden",+49 6438 2224,,info@autohaus-horn.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-otto-horn-huenfelden.html,50.30956,8.16105
Autocenter Andrè Mühlenbruch GmbH,"In der Au 26 , 57290 Neunkirchen",+49 2735 78480,+49 2735 774025,mail@ac-muehlenbruch.de,https://www.volkswagen.de/de/haendler-werkstatt/autocenter-andre-muehlenbruch-neunkirchen.html,50.78499,8.01104
Göthling & Kaufmann Automobile GmbH,"Rheingaustraße 130 , 65719 Hofheim",+49 6192 20750,+49 6192 207563,vw.hofheim@goethling-kaufmann.de,https://www.volkswagen.de/de/haendler-werkstatt/goethling-kaufmann-automobile-hofheim.html,50.06651,8.43598
Autohaus Stöber Eschwege GmbH & Co. KG,"Hessenring 2 , 37269 Eschwege",+49 5651 800990,+49 5651 8009910,esw@glinicke.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-stoeber-eschwege.html,51.1773,10.03024
Walter Schneider GmbH & Co. KG,"Zur Brüche 2 , 57223 Kreuztal",+49 2732 58360,+49 2732 27539,team-ferndorf@walter-schneider.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-walter-schneider-kreuztal.html,50.959324,8.024022
Auto Brucker GmbH,"Jerusalemer Straße 1 , 98617 Meiningen",+49 3693 71450,+49 3693 714533,meiningen@auto-brucker.de,https://www.volkswagen.de/de/haendler-werkstatt/auto-brucker-meiningen.html,50.589073,10.412426
Autohaus Luckey GmbH,"Bundesstraße 60 , 34431 Marsberg",+49 2991 96000,+49 2991 960060,info.autohaus@ahluckey.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-luckey-marsberg.html,51.41003,8.74963
Menke GmbH,"Hauptstraße 120 , 59939 Olsberg",+49 2962 97790,+49 2962 977990,info@menke-olsberg.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-menke-olsberg.html,51.35395,8.484115
Egon Baumhoff GmbH & Co. KG,"Hagener Straße 68 , 57368 Lennestadt",+49 2723 96670,,info@autohaus-baumhoff.de,https://www.volkswagen.de/de/haendler-werkstatt/egon-baumhoff-lennestadt.html,51.109425,8.066724
Biederbick GmbH & Co.KG,"Almerfeldweg 39 , 59929 Brilon",+49 2961 972222,+49 2961 972216,info@biederbick.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-biederbick-brilon.html,51.405766,8.581462
MAX-WEISS Auto GmbH,"Am Schindberg 2 , 65474 Bischofsheim",+49 6144 334180,+49 6144 3341866,info@max-weiss.com,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-max-weiss-bischofsheim.html,49.97608,8.37662
Treffpunkt Thierolf GmbH & Co. KG,"Aschaffenburger Straße 71 , 64739 Höchst",+49 6163 93330,+49 6163 933349,treffpunkt@thierolf.de,https://www.volkswagen.de/de/haendler-werkstatt/treffpunkt-thierolf-hoechst.html,49.80414,8.99999
Autohaus J. Wiest & Söhne Gesellschaft mit beschränkter Haftung,"Hilpertstraße 6 , 64295 Darmstadt",+49 6151 8640,+49 6151 864400,volkswagen-homepage-da@wiest-autohaeuser.dealerdesk.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-j-wiest-soehne-darmstadt.html,49.862778,8.630486
Ehrhardt AG,"Stützenbergstraße 1 , 97225 Zellingen",+49 9364 8176090,+49 9364 81760917,zellingen@ah-ehrhardt.com,https://www.volkswagen.de/de/haendler-werkstatt/ehrhardt-ag-zellingen.html,49.89095,9.82571
Autohaus Stefan Semler GmbH & Co. KG,"Ottostraße 16-18 , 64347 Griesheim",+49 6155 83800,+49 6155 838098,info@autohaus-semler.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-stefan-semler-griesheim.html,49.869812,8.559929
Friedrich Hoffmann GmbH & Co. KG,"Warsteiner Straße 50 , 59872 Meschede",+49 291 99660,+49 291 996699,info@friedrich-hoffmann.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-friedrich-hoffmann-meschede.html,51.35384,8.28186
D. Pullmann e.K.,"Pfungstädter Straße 65 , 64297 Darmstadt",+49 6151 54041,+49 6151 591305,info@autohaus-pullmann.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-pullmann-darmstadt.html,49.81636,8.63625
Autohaus Hölzer GmbH,"Thüringer Straße 23 , 97631 Bad Königshofen",+49 9761 91500,+49 9761 915028,service@autohaus-hoelzer.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-hoelzer-bad-koenigshofen.html,50.302414,10.474383
Autohaus Spindler Kreuzwertheim GmbH & Co. KG,"Haslocher Straße 23 , 97892 Kreuzwertheim",+49 9342 92500,+49 9342 925015,kreuzwertheim@spindler-gruppe.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-spindler-kreuzwertheim.html,49.76977,9.5132
Autohaus Albertsmeyer Mühlhausen GmbH,"Mühlhäuser Landstraße 4 , 99974 Mühlhausen",+49 36026 9500,+49 36026 95050,info@albertsmeyer.com,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-albertsmeyer-rodeberg-ot-eigenrieden.html,51.21099,10.330422
Autohaus Vögler GmbH,"Zeller Gewerbezentrum 22 , 64732 Bad König",+49 6063 95950,+49 6063 959533,info@voegler.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-voegler-bad-koenig.html,49.72447,8.994035
Autohaus Keller GmbH,"Scheffelstraße 1 , 97209 Veitshöchheim",+49 931 900820,+49 931 9008250,info@autohaus-keller.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-keller-veitshoechheim.html,49.82472,9.87908
Erwin Pfister GmbH & Co. KG,"Heidenfelder Straße 9 , 97525 Schwebheim",+49 9723 91550,+49 9723 5292,info@autohaus-pfister.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-pfister-schwebheim.html,49.984394,10.243418
Auto-Wünsch KG,"Pariser Straße 144 , 55268 Nieder-Olm",+49 6136 75670,+49 6136 756721,info@auto-wuensch.de,https://www.volkswagen.de/de/haendler-werkstatt/auto-wuensch-nieder-olm.html,49.90594,8.19513
Autohaus Spies GmbH & Co. KG,"Königsberger Straße 45 , 56269 Dierdorf",+49 2689 9595110,+49 2689 95951117,info@autohaus-spies.com,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-spies-dierdorf.html,50.54523,7.6358
Autohaus Iffland GmbH,"Mühlhäuser Straße 54 , 37351 Dingelstädt",+49 36075 30688,+49 36075 30689,info@autohaus-iffland.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-daniel-iffland-dingelstaedt.html,51.30882,10.32435
Fahrzeughaus Müller GmbH,"Themarer Straße 5 , 98553 Schleusingen",+49 36841 3950,+49 36841 39539,info@fahrzeughaus-mueller.de,https://www.volkswagen.de/de/haendler-werkstatt/fahrzeughaus-mueller-schleusingen.html,50.50215,10.73814
AHG GmbH & Co. KG,"Weimarer Straße 71-75 , 99867 Gotha",+49 3621 45040,+49 3621 4504118,info@ahg-online.de,https://www.volkswagen.de/de/haendler-werkstatt/ahg-autohaus-gotha.html,50.945267,10.734936
AUTOHAUS GLINICKE GMBH & CO. VERTRIEBS KG,"Mühlhäuser Landstraße 15 , 99947 Bad Langensalza",+49 3603 86100,+49 3603 861020,info@glinicke.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-glinicke-bad-langensalza.html,51.112022,10.639776
Löhr Automobile GmbH,"Dieter-Trennheuser-Straße 8 , 56170 Bendorf",+49 2622 94440,,info.lbe@loehrgruppe.de,https://www.volkswagen.de/de/haendler-werkstatt/loehr-automobile-bendorf.html,50.427254,7.5648713
Friedrich Hoffmann GmbH & Co.,"Niedereimerfeld 37-39 , 59823 Arnsberg-Niedereimer",+49 2932 890180,+49 2932 89018769,info@friedrich-hoffmann.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-friedrich-hoffmann-arnsberg.html,51.42264,8.03453
Autohaus Levermann GmbH,"Hönnetalstraße 64a-66 , 58802 Balve",+49 2375 92800,+49 2375 928030,info@levermann.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-levermann-balve.html,51.33722,7.86957
Autohaus Scherhag GmbH,"In der Laach 76 , 56072 Koblenz",+49 261 404080,+49 261 4040860,info@scherhag.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-scherhag-koblenz.html,50.349854,7.549772
Auto Schmidt GmbH,"Unten in der Aab 3 , 56154 Boppard",+49 6742 60710,+49 6742 607155,info@auto-schmidt-boppard.de,https://www.volkswagen.de/de/haendler-werkstatt/auto-schmidt-boppard.html,50.20993,7.62576
Autohaus Albertsmeyer GmbH & Co. KG,"Am Stadion 1-2 , 37339 Worbis",+49 36074 3830,+49 36074 38321,info.wbs@albertsmeyer.com,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-albertsmeyer-worbis.html,51.41997,10.36846
Autohaus Abicht GmbH,"Industriestraße 33-35 , 37115 Duderstadt",+49 5527 8400,+49 5527 840123,info@autohaus-abicht.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-abicht-duderstadt.html,51.508564,10.250339
Tiemeyer automobile GmbH & Co. KG,"Nottebohmstraße 2 , 58511 Lüdenscheid",+49 2351 87440934,+49 2351 917765,info.auidiluedenscheid@tiemeyer.de,https://www.volkswagen.de/de/haendler-werkstatt/tiemeyer-automobile-service-luedenscheid.html,51.21663,7.6541
Autohaus Creusen + Scherer GmbH & Co. KG,"Albiger Straße 4 , 55232 Alzey",+49 6731 88820,+49 6731 888210,ServiceInfo.CRA@scherer-gruppe.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-creusen-scherer-alzey.html,49.75159,8.11839
Autohaus Sand am Main Gelder & Sorg GmbH,"Zeiler Straße 56 , 97522 Sand am Main",+49 9524 82250,+49 9524 301391,info-sand@gelderundsorg.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-gelder-sorg-sand-am-main.html,49.99391,10.58968
RK Autowelt Rinke & Knipps GmbH,"Thomätor 12 , 59494 Soest",+49 2921 3653-0,+49 2921 3653-53,verkauf.soest@rk-autowelt.eu,https://www.volkswagen.de/de/haendler-werkstatt/rk-autowelt-rinke-knipps-soest.html,51.570282,8.119398
Autohaus Spindler Kitzingen GmbH & Co. KG,"Mainstraße 45 , 97318 Kitzingen",+49 9321 30081000,+49 9321 30081101,kitzingen@spindler-gruppe.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-spindler-kitzingen.html,49.72258,10.16312
Rauch Partner der Wiest Autohäuser GmbH,"Bürstädter Straße 112 , 68623 Lampertheim",+49 6206 94380,+49 6206 943838,info@autohaus-rauch.de,https://www.volkswagen.de/de/haendler-werkstatt/rauch-partner-der-wiest-autohaeuser-lampertheim.html,49.606544,8.46626
Autohaus Löven GmbH,"Westerwaldstraße 157-159 , 53773 Hennef (Sieg)",+49 2248 91560,+49 2248 915629,info@autohausloeven.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-loeven-hennef.html,50.73179,7.36769
Seibert GmbH & Co. KG,"Albaxer Straße 60 , 37671 Höxter",+49 5271 97320,+49 5271 973240,hoexter@autohaus-seibert.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-seibert-hoexter.html,51.78619,9.38763
Auto Meyer GmbH & Co. KG,"Uffenheimer Straße 18 , 97199 Ochsenfurt",+49 9331 87290,+49 9331 7701,info@automeyer-ochsenfurt.de,https://www.volkswagen.de/de/haendler-werkstatt/auto-meyer-ochsenfurt.html,49.660465,10.071678
Dachwiger Autohaus GmbH,"Lange Straße 60 , 99100 Dachwig",+49 36206 2430,+49 36206 24333,info@dachwiger-autohaus.de,https://www.volkswagen.de/de/haendler-werkstatt/dachwiger-autohaus.html,51.07821,10.86416
Autohaus Herschel GmbH,"Bahnhofstraße 5 , 37434 Rhumspringe",+49 5529 96260,+49 5529 962632,info@autohaus-herschel.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-herschel-rhumspringe.html,51.57821,10.294557
Gelder & Sorg GmbH & Co. KG,"Bahnhofstraße 41 , 96106 Ebern",+49 9531 92280,+49 9531 8818,info-sorg@gelderundsorg.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-gelder-sorg-ebern.html,50.1044,10.788
RK Autowelt Werl GmbH,"Soester Straße 50 , 59457 Werl",+49 2922 877990,+49 2922 8779920,info.werl@rk-autowelt.de,https://www.volkswagen.de/de/haendler-werkstatt/rk-autowelt-werl.html,51.549465,7.933953
Autohaus Korth GmbH,"Herresbacher Straße 51 , 53639 Königswinter",+49 2244 3071,+49 2244 81049,info@autohaus-korth.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-korth-koenigswinter.html,50.70634,7.28442
Rudolf Vatterott GmbH,"Bülte 9-11 , 37603 Holzminden",+49 5531 93520,+49 5531 935299,holzminden@autohaus-vatterott.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-vatterott-holzminden.html,51.84315,9.462221
Volkswagen Economy Service Konrad,"Eisenbahnstraße 18 - 19 , 53489 Sinzig",02642-906350,02642-9063528,info@ah-konrad.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-konrad-remagen.html,50.54115,7.26329
Auto & Service Lohre GmbH,"Höxterstraße 44 , 32839 Steinheim",+49 5233 3830200,+49 5233 38302050,a.schroeder@aslohre.de,https://www.volkswagen.de/de/haendler-werkstatt/auto-service-lohre-steinheim.html,51.86685,9.09943
Autohaus Wilhelm Nielsen GmbH & Co. KG,"Bischheimer Str. 11 , 67292 Kirchheimbolanden",06352-4001-0,06352-4001-99,service@autohaus-nielsen.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-wilhelm-nielsen-kirchheimbolanden.html,49.6695,8.019885
Glinicke automobiles Erfurt GmbH,"Vollbrachtstraße 14 , 99086 Erfurt",+49 361 740800,+49 361 7408080,,https://www.volkswagen.de/de/haendler-werkstatt/glinicke-automobiles-erfurt.html,51.004482,11.025331
Autohaus Gretenkort GmbH & Co.KG,"Buchenstraße 15 , 59514 Welver",+49 2384 822,+49 2384 5942,service@autohaus-gretenkort.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-gretenkort-welver.html,51.62532,7.95687
Automobilgruppe Harz-Leine GmbH,"Altendorfer Tor 21 + 26 , 37574 Einbeck",05561 7909-0,,info@harz-leine.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-huebener-einbeck.html,51.81414,9.87964
Richard Stein GmbH & Co. KG,"Luisenstraße 92 - 98 , 53721 Siegburg",+49 2241 17540,+49 2241 175422,info@steingruppe.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-g-rudolf-seiler-siegburg.html,50.80786,7.19374
Autohaus Hoff GmbH & Co. KG,"Einsteinstraße 17 , 53757 Sankt Augustin",+49 2241 12000,+49 2241 120055,info@ah-hoff.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-hoff-service-sankt-augustin.html,50.79015,7.18281
ARG-Auto-Rheinland-GmbH,"Godesberger Straße 40 - 80  , 53175  Bonn",0228 / 385-20,+49 228 38567,VW@ARG.de,https://www.volkswagen.de/de/haendler-werkstatt/arg-auto-rheinland-bonn.html,50.694294,7.142418
Autohaus Müller GmbH,"Konrad-Adenauer-Ring 24 , 58135 Hagen",+49 2331 48130,+49 2331 481321,Stephan.Krautwurst@autohaus-vw-mueller.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-mueller-hagen.html,51.34982,7.44594
Kurt Stricker GmbH & Co. KG,"Lise-Meitner-Straße 15 , 32760 Detmold",+49 5234 82330,+49 5234 823333,info@autohaus-stricker.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-stricker-detmold.html,51.93294,8.92037
Autohaus Eyßelein GmbH & Co. KG,"Würzburger Straße 36 , 96152 Burghaslach",+49 9552 92290,+49 9552 922960,Auto@Eysselein.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-eysselein-burghaslach.html,49.73316,10.59478
Schröder Team Verl GmbH & Co. KG,"Nickelstraße 6 , 33415 Verl",+49 5246 92880,+49 5246 928876,info-verl@schroeder-team.de,https://www.volkswagen.de/de/haendler-werkstatt/schroeder-team-verl.html,51.87512,8.456996
Gottfried Schultz Vertrieb GmbH & Co. KG,"Weststraße 1 , 58089 Hagen",+49 2331 309100,+49 2331 309111,info_41@gottfried-schultz.de,https://www.volkswagen.de/de/haendler-werkstatt/gottfried-schultz-vertrieb-hagen.html,51.387493,7.443639
G & S Automobile GmbH,"Grünewaldstraße 2 , 96215 Lichtenfels",+49 9571 755350,,info-lichtenfels@gelderundsorg.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-gelder-sorg-service-lichtenfels.html,50.13665,11.06184
Karl Thiel GmbH & Co. KG,"Karl-Thiel-Straße 1 , 33378 Rheda-Wiedenbrück",+49 5242 59050,+49 5242 590549,rheda-wiedenbrueck@thiel-gruppe.de,https://www.volkswagen.de/de/haendler-werkstatt/karl-thiel-rheda-wiedenbrueck.html,51.85915,8.314011
Autohaus Albertsmeyer Nordhausen GmbH & Co. KG,"Helmestraße 111 , 99734 Nordhausen",+49 3631 61800,+49 3631 618030,info@albertsmeyer.com,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-albertsmeyer-nordhausen.html,51.47686,10.80823
Tepass Gevelsberg GmbH + Co. KG,"Hagener Straße 113 , 58285 Gevelsberg",+49 2332 969600,+49 2332 969654,gevelsberg@ah-tepass.de,https://www.volkswagen.de/de/haendler-werkstatt/tepass-gevelsberg.html,51.32535,7.35284
Autohaus Henzel Mutterstadt GmbH,"An der Fohlenweide 3 , 67112 Mutterstadt",+49 6234 92620,+49 6234 926270,info@henzel-automobile.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-henzel-mutterstadt.html,49.42702,8.360294
Auto-Scholz AHG GmbH & Co. KG,"Kronacher Straße 38 + 51 , 96052 Bamberg",+49 951 9333333,+49 951 9333335,dialog.vw@auto-scholz.de,https://www.volkswagen.de/de/haendler-werkstatt/volkswagen-zentrum-bamberg.html,49.91853,10.90226
Tepass Schwelm GmbH + Co. KG,"Berliner Straße 60 - 68 , 58332 Schwelm",+49 2336 879700,+49 2336 8797061,schwelm@ah-tepass.de,https://www.volkswagen.de/de/haendler-werkstatt/tepass-schwelm.html,51.29475,7.29689
Autohaus Lecki e.K.,"Felicitasstraße 3 , 44263 Dortmund",+49 231 436080,+49 231 421955,autohaus.lecki@t-online.de,,51.48336,7.4871
Auto-Stern GmbH,"Gottlieb-Daimler-Straße 1 , 69181 Leimen",+49 6224 71081,+49 6224 72929,info@auto-stern.de,https://www.volkswagen.de/de/haendler-werkstatt/auto-stern-leimen.html,49.3451,8.67892
Auto-Köhler GmbH & Co. KG,"Schlachthausstraße 6a , 67098 Bad Dürkheim",+49 6322 979910,+49 6322 9799199,info@autokoehler.de,https://www.volkswagen.de/de/haendler-werkstatt/auto-koehler-bad-duerkheim.html,49.46237,8.16472
Tepass Wetter GmbH,"Oberwengerner Straße 170 , 58300 Wetter",+49 2335 976666,+49 2335 976667,wetter@ah-tepass.de,https://www.volkswagen.de/de/haendler-werkstatt/tepass-wetter.html,51.39237,7.36084
Löhr Automobile Vertriebs GmbH,"Bergerwiesenstraße 4 , 53340 Meckenheim",+49 2225 88970,+49 2225 8897599,vw.ahk@loehrgruppe.de,https://www.volkswagen.de/de/haendler-werkstatt/loehr-automobile-meckenheim.html,50.63726,7.0200458
Tepass Wuppertal GmbH,"Otto-Hahn-Straße 5 , 42369 Wuppertal",+49 202 246460,+49 202 463059,wuppertal@ah-tepass.de,https://www.volkswagen.de/de/haendler-werkstatt/tepass-wuppertal.html,51.23409,7.21353
