name,street,city,zip_code,distance_km,phone,fax,email,website,latitude,longitude
Cloppenburg GmbH,Industriestr. 37,Bad Kreuznach,55543,35.78 km, +49-671-887000, +49-671-8870070,info@cloppenburg-badkreuznach.de,https://www.bmw-cloppenburg.de/,49.8527016,7.8953541
BMW AG Niederlassung Darmstadt,Marburger Str. 22,Darmstadt,64289,36.94 km, +49-6151-70070, +49-6151-7007346,nl.darmstadt@bmw.de,https://www.bmw-darmstadt.de/de/home/,49.8889326,8.6594043
BMW AG Niederlassung Frankfurt,Hanauer Landstr. 255,Frankfurt am Main,60314,34.45 km, +49-69-8500010, +49-69-85000155,nl.frankfurt@bmw.de,https://www.bmw-offenbach.de/de/home/,50.1156213,8.7227067
Cloppenburg GmbH,Galgenwiesenweg 15-17,Alzey,55232,37.89 km, +49-6731-95360, +49-6731-953622,info-az@auto-cloppenburg.de,https://www.bmw-cloppenburg.de/,49.7529,8.12107
Autohaus Krah + Enders GmbH & Co. KG,An der Meil 6,Limburg a.d. Lahn,65555,37.94 km, +49-6431-5295-0, +49-6431-5295-30,info@bmw-krah-enders-limburg.de,https://www.autohaus-krah-enders.de/,50.4081355,8.0743643
Autohaus Euler Mühlheim GmbH Filiale Rödermark,Carl-Zeiss-Str. 8,Rödermark,63322,43.63 km, +49-6074-886990, +49-6074-8869910,info@euler-group.de,https://www.bmw-euler.de/,49.9650964,8.824350299999999
Autohaus Krah + Enders GmbH & Co. KG,Pfingstweide 33,Friedberg (Hessen),61169,44.83 km, +49-6031-7188-0, +49-6031-7188-88,info@bmw-krah-enders-friedberg.de,https://www.autohaus-krah-enders.de/,50.3165821,8.7566426
BMW AG Niederlassung Offenbach,Spessartring 9,Offenbach,63071,37.76 km, +49-6181-409870, +49-6181-4098719,autohaus@bmw-krah-enders-maintal.de,https://www.autohaus-krah-enders.de/,50.0894291,8.771511799999999
Emil Frey Vogel Automobile GmbH,Gießer Weg 16,Zwingenberg,64673,47.77 km, +49-6251-7099-0, +49-6251-7099-99,info@bmw-vogel.de,https://www.emilfrey.de/vogel-automobile,49.7224729,8.6024162
Adolf Cuntz KG,Auf dem Sand 6,Worms,67547,48.46 km, +49-6232-69700, +49-6232-697080,info@autohaus-cuntz.de,https://www.autohaus-cuntz.de/,49.6549415,8.3548379
Team Pilz GmbH,Aschaffenburger Straße 44,Dieburg,64807,48.5 km, +49-6071-20900, +49-6071-209010,info@bmw-service-pilz.de,https://www.bmw.de/de/partner/team-pilz-dieburg-28235.html,49.9036598,8.8589963
Autohaus Manfred Maurer GmbH,Attenbachstr. 2,Braunfels,35619,48.79 km, +49-6442-93450, +49-6442-934520,martina.obergfell@maurer-bmw-service.de,https://www.maurer-bmw-service.de/,50.51214539999999,8.3948231
Autohaus Weissenfels GmbH,Alleestr. 15-17,Montabaur,56410,48.96 km, +49-2602-15650, +49-2602-156555,info@bmw-weissenfels.de,https://www.bmw.de/de/partner/autohaus-weissenfels-montabaur-01868.html,50.4388629,7.8313419
Müller-Dynamic GmbH,Rudolf-Diesel-Str. 1,Simmern,55469,51.93 km, +49-6761-95960, +49-6761-959695,kontakt@mueller-bmw.com,https://www.mueller-auto.com/markenwelten/bmw,49.9937334,7.5286845
Autohaus Euler Mühlheim GmbH,Dieselstr. 14,Hainburg,63512,52.03 km, +49-6182-95990, +49-6182-66686,info@euler-group.de,https://www.bmw-euler.de/,50.0643103,8.9711543
HANKO Kraftfahrzeughandel GmbH,Moselring 27-29,Koblenz,56073,55.66 km, +49-261-40460, +49-261-404639,info@hanko.de,https://www.hakvoort-gruppe.de/markenwelt-bmw,50.35936,7.587700000000001
Auto Wüst GmbH,Hauptstr. 28,Kölbingen,56459,56.32 km, +49-2663-98799-30, +49-2663-98799-55,info@auto-wuest.de,http://bmw-wuest.de/de/home,50.55105,7.9345738
Alfred Wahl GmbH & Co. KG,Dillfeld 25,Wetzlar,35576,56.54 km, +49-6441-91070, +49-6441-910766,bmw.wetzlar@wahl-group.de,https://www.wahl-group.de/bmw,50.569329,8.4833643
Klaus Scheller GmbH,Industriestr. 9,Grünstadt,67269,58.53 km, +49-6359-93240, +49-6359-932424,info@bmw-scheller.de,https://www.bmw-scheller.de/,49.5601862,8.1766836
Alfred Wahl GmbH & Co. KG,Gottlieb-Daimler-Str. 1,Gießen,35398,62.78 km, +49-641-610660, +49-641-6106644,bmw.giessen@wahl-group.de,https://www.wahl-group.de/bmw,50.5859006,8.6509622
Hermann Arnold GmbH,Großostheimer Str. 90,Aschaffenburg,63741,64.53 km, +49-6021-442420, +49-6021-4424273,info@bmw-arnold.com,https://www.bmw-arnold.com/,49.9595613,9.1238156
Adolf Cuntz KG,Lorscher Str. 7,Weinheim,69469,64.9 km, +49-6201-34022, +49-6232-697080,info@autohaus-cuntz.de,https://www.autohaus-cuntz.de/,49.55852669999999,8.6493368
Autohaus Krah + Enders GmbH & Co. KG,Raun 97-99,Nidda,63667,65.44 km, +49-6043-404-0, +49-6043-404-100,info@bmw-krah-enders-nidda.de,https://www.autohaus-krah-enders.de/,50.4074,9.01118
Team Pilz GmbH,Danziger Str. 5,Bad König,64732,65.79 km, +49-6063-93090, +49-6063-930930,info@bmw-service-pilz.de,https://www.bmw-service-pilz.de/de/home/,49.7512608,9.001859999999999
Hakvoort GmbH,Bismarckstr. 59,Bad Marienberg,56470,65.92 km, +49-2661-912310, +49-2661-912399,kontakt@hakvoort.de,https://www.hakvoort-gruppe.de/markenwelt-bmw,50.6454198,7.9417414
HANKO Kraftfahrzeughandel GmbH,Stettiner Str. 1,Neuwied,56564,66.5 km, +49-2631-39500, +49-2631-395060,info@hanko.de,https://www.hakvoort-gruppe.de/markenwelt-bmw,50.4361296,7.4847457
BMW AG Niederlassung Mannheim Gebrauchte Automobile Zentrum,Inselstr. 2,Mannheim,68169,66.54 km, +49-621-8357-0, +49-621-8357-3293,bmw-mannheim@bmw.de,https://www.bmw-mannheim.de/de/home/,49.502532,8.4551287
Klaus Scheller GmbH,Triftweg 10,Bad Dürkheim,67098,69.2 km, +49-6322-94250, +49-6322-942515,info@bmw-scheller.de,https://www.bmw-scheller.de/,49.46332,8.1796557
Autohaus Eichhorn Automotive GmbH,Römerstr. 113,Obernburg,63785,70.16 km, +49-6022-62170, +49-6022-621717,info@auto-eichhorn.de,https://www.auto-eichhorn.de/,49.8507545,9.1526128
Hermann Arnold GmbH,Industriestr. 1-3,Hösbach,63768,70.47 km, +49-6021-59900, +49-6021-599073,info@bmw-arnold.com,https://www.bmw-arnold.com/,50.0065243,9.2210535
Müller Automotive GmbH,Robert-Bosch-Str. 15,Erbach,64711,71.08 km, +49-6062-9430-0, +49-6062-9430-31,team@bmw-mueller.com,https://www.bmw-mueller.com/,49.6674162,8.9938585
Autohaus Günther GmbH,Leipziger Allee 51,Gelnhausen,63571,71.94 km, +49-6051-97600, +49-6051-976020,achim.guenther@bmw-guenther.de,https://www.bmw.de/de/partner/autohaus-guenther-gelnhausen-28236.html,50.2085392,9.2326918
Cloppenburg GmbH,Kaufacker 9,Idar-Oberstein,55743,73.19 km, +49-6784-99350, +49-6784-993570,info@cloppenburg-idaroberstein.de,https://www.bmw-cloppenburg.de/,49.7233256,7.386715499999999
Autohaus Knopf GmbH & Co. KG,Carl-Benz-Str. 12,Schriesheim,69198,75.12 km, +49-6203-69780, +49-6203-697811,autohaus.knopf@bmw-service-knopf.de,https://www.bmw.de/de/partner/autohaus-knopf-schriesheim-00738.html,49.4658854,8.6632429
Autohaus Kainz GmbH & Co. KG Mayen,August-Horch-Str. 1,Kottenheim b. Mayen,56736,75.48 km, +49-2651-95890, +49-2651-958921,info.mayen@kainz-gruppe.de,https://www.autohaus-kainz.de/,50.3365389,7.2563107
Alfred Wahl GmbH & Co. KG,Auf der Langaar 1,Dillenburg,35684,76.07 km, +49-2771-81660, +49-2771-816666,bmw.dillenburg@wahl-group.de,https://www.wahl-group.de/bmw,50.7686426,8.2928024
Autohaus Krauth GmbH & Co. KG,In der Gabel 12,Heidelberg,69123,79.93 km, +49-6221-73660, +49-6221-7366399,info@bmw-krauth.de,https://www.bmw-krauth.de/,49.4137678,8.6396745
Hakvoort GmbH,Lise-Meitner-Str. 9,Altenkirchen,57610,80.4 km, +49-2681-87980, +49-2681-879840,kontakt-AK@hakvoort.de,https://www.hakvoort-gruppe.de/markenwelt-bmw,50.6898825,7.622485299999999
Autohaus Euler Kaiserslautern GmbH,Opelkreisel 28a,Kaiserslautern,67663,80.64 km, +49-631-351130, +49-631-3511339,info@euler-group.de,https://www.bmw-euler.de/,49.4473946,7.708696499999999
Autohaus Eichhorn Automotive GmbH,Lassallestr. 9,Miltenberg,63897,82.27 km, +49-9371-40390, +49-9371-403939,info@auto-eichhorn.de,https://www.auto-eichhorn.de/,49.70537520000001,9.2285919
Auto-Albert GmbH,Kuseler Str. 20,Baumholder,55774,83.05 km, +49-6783-99450, +49-6783-994525,auto-albert@bmw-auto-albert.de,https://bmw-service-auto-albert.de/de/home/,49.6132934,7.343476799999999
Alfred Wahl GmbH & Co. KG,Talstr. 19,Dautphetal,35232,83.73 km, +49-6468-9140-0, +49-6468-9140-40,bmw.dautphetal@wahl-group.de,https://www.wahl-group.de/bmw,50.8150817,8.532378
Alfred Wahl GmbH & Co. KG,Zu den Sandbeeten 10,Marburg,35043,85.56 km, +49-6421-9468-0, +49-6421-9468-68,bmw.marburg@wahl-group.de,https://www.wahl-group.de/bmw,50.7795446,8.761210199999999
Autohaus Euler Pirmasens GmbH,Bruchwiesenstr. 38-40,Landstuhl,66849,88.4 km, +49-6371-92500, +49-6371-925065,info@euler-group.de,https://www.bmw-euler.de/,49.4172345,7.573963300000001
Alfred Wahl GmbH & Co. KG,Weidenauer Str. 217-225,Siegen,57076,91.15 km, +49-271-4020, +49-271-42019,bmw.siegen@wahl-group.de,https://www.wahl-group.de/bmw,50.8925442,8.0288005
Baum-Automobile GmbH & Co. KG,Heerstr. 87,Bad Neuenahr-Ahrweiler,53474,94.1 km, +49-2641-75770, +49-2641-757799,info@baum-automobile.de,https://www.bmw-baum.de/,50.54785649999999,7.1341879
Hakvoort GmbH,Im Laach 4,Eitorf,53783,94.29 km, +49-2243-92220, +49-2243-922222,kontakt@hakvoort.de,https://www.hakvoort-gruppe.de/markenwelt-bmw,50.7719807,7.462042299999998
Autohaus E. Funke Inhaber Ralf Funke e.K.,Fuldaer Str. 3,Kirchhain,35274,95.46 km, +49-6422-4055, +49-6422-2447,info@bmw-service-funke.de,https://www.bmw.de/de/partner/autohaus-funke-kirchhain-33248.html,50.8183217,8.9408389
Autohaus Kainz GmbH & Co. KG Wittlich,Max-Planck-Str. 21,Wittlich,54516,96.05 km, +49-6571-95330, +49-6571-953321,info.wittlich@kainz-gruppe.de,https://www.bmw.de/de/partner/autohaus-kainz-wittlich-28323.html,49.9882237,6.904904999999999
Autohaus Fuchs Inh. Jürgen Fuchs e. K.,Im Aller 1,Lohr/Main,97816,96.3 km, +49-9352-87570, +49-9352-875750,info@autohaus-fuchs.de,https://www.bmw.de/de/partner/autohaus-fuchs-lohr-main-00268.html,50.0022931,9.5842418
Autohaus Fulda Krah & Enders GmbH,,Schlüchtern,36381,96.93 km, +49-6661-96010, +49-6661-960122,info@bmw-krah-enders-schluechtern.de,https://www.autohaus-krah-enders.de/,50.35155109999999,9.5231965
Autohaus Kaltenbach GmbH,Mühlenweg 1,Waldbröl,51545,98.35 km, +49-2291-92430, +49-2291-924355,info.waldbroel@kaltenbach-gruppe.de,https://kaltenbach-gruppe.de/marken/bmw-markenwelt/,50.86911629999999,7.5995448
Hakvoort GmbH,Hauptstr. 21,Königswinter,53639,101.87 km, +49-2223-92330, +49-2223-923340,kontakt@hakvoort.de,https://www.hakvoort-gruppe.de/markenwelt-bmw,50.69858000000001,7.175940499999999
Müller Automotive GmbH,Neue Buchener Str. 28,Buchen-Hettingen,74722,101.98 km, +49-6281-52850, +49-6281-528531,team@bmw-mueller.com,https://www.bmw-mueller.com/,49.5189943,9.3597158
Günter Reuter GmbH,Am Bäuerleinsberg 2,Erlenbach,97837,102.47 km, +49-9391-4013+14, +49-9391-4753,guenter.reuter@bmw-reuter.de,https://www.bmw.de/de/partner/guenter-reuter-erlenbach-01459.html,49.8292586,9.619440899999999
Autohaus Kainz GmbH & Co. KG Daun,Hamsterweg 3,Daun,54550,103.09 km, +49-6592-96900, +49-6592-969021,info.daun@kainz-gruppe.de,https://www.bmw.de/de/partner/autohaus-kainz-daun-04703.html,50.19153590000001,6.8047505
Müller-Dynamic GmbH,Werschweiler Str. 52-54,St. Wendel,66606,103.54 km, +49-6851-93120, +49-6851-931250,kontakt@mueller-bmw.com,https://www.mueller-auto.com/markenwelten/bmw,49.455916,7.177960499999998
Autohaus Lauterbach Kreis GmbH,Fritz-Ebel-Allee 19,Lauterbach,36341,103.95 km, +49-6641-911640, +49-6641-9116427,info@bmw-autohaus-lauterbach.de,https://www.bmw.de/de/partner/autohaus-lauterbach-kreis-30776.html,50.647236,9.414099199999999
Kaltenbach Automobile GmbH & Co. KG,Im Langen Feld 8,Olpe,57462,105.76 km, +49-2761-90280, +49-2761-902820,info.olpe@kaltenbach-gruppe.de,https://kaltenbach-gruppe.de/marken/bmw-markenwelt/,51.0031417,7.8376202
Hakvoort GmbH,Zeithstr. 89,Siegburg,53721,107.82 km, +49-2241-969290, +49-2241-9692940,kontakt-Siegburg@hakvoort.de,https://www.hakvoort-gruppe.de/markenwelt-bmw,50.8021158,7.2165968
BMW AG Niederlassung Bonn,Vorgebirgsstr. 95,Bonn,53119,110.09 km, +49-228-6070, +49-228-607133,nl.bonn@bmw.de,https://www.bmw-bonn.de/de/home/,50.7407064,7.080574299999999
Autohaus Kaltenbach GmbH & Co. KG,Robert-Bosch-Str. 4,Wiehl,51674,110.71 km, +49-2261-94720, +49-2261-947255,info.wiehl@kaltenbach-gruppe.de,https://kaltenbach-gruppe.de/marken/bmw-markenwelt/,50.9687645,7.520352399999999
Autohaus Köhler GmbH,Bodelschwinghstr. 88,Karlstadt,97753,110.71 km, +49-9353-97110, +49-9353-971122,andre.mehrlich@koehler-bmw.de,https://www.bmw-koehler.de/,49.9554515,9.7784979
Autohaus Schmauser GmbH,Zum Schneekasten 10,Tauberbischofsheim,97941,112.5 km, +49-9341-92500, +49-9341-925020,info@bmw-service-schmauser.de,https://bmw.de/de/partner/autohaus-schmauser-tauberbischofsheim-28413.html,49.63529339999999,9.6487389
Autohaus Fulda Krah & Enders GmbH,Frankfurter Str. 127,Fulda,36043,113.33 km, +49-661-94790, +49-661-947955,info@bmw-krah-enders-fulda.de,https://www.autohaus-krah-enders.de/,50.53120389999999,9.6770669
Autohaus Kaltenbach GmbH & Co. KG,Wigeystr. 16,Lennestadt,57368,114.46 km, +49-2723-71909-0, +49-2723-71909-55,info.lennestadt@kaltenbach-gruppe.de,https://kaltenbach-gruppe.de/marken/bmw-markenwelt/,51.108517,8.0738003
Alfred Wahl GmbH & Co. KG,Röddenauer Str. 14,Frankenberg/ Eder,35066,114.76 km, +49-6451-50010, +49-6451-500111,bmw.frankenberg@wahl-group.de,https://www.wahl-group.de/bmw,51.05710329999999,8.785278900000002
Alfred Wahl GmbH & Co. KG,In der Aue 1,Schwalmstadt,34613,115.25 km, +49-6691-9632-0, +49-6691-9632-22,bmw.schwalmstadt@wahl-group.de,https://www.wahl-group.de/bmw,50.9179964,9.2103483
Müller-Dynamic GmbH,Ruwerer Str. 1A,Trier,54292,116.64 km, +49-651-84088-0, +49-651-84088-39,kontakt@mueller-bmw.com,https://www.mueller-auto.com/markenwelten/bmw,49.77547,6.68486
Kaltenbach Automobile GmbH & Co. KG,Maarweg 1,Overath,51491,117.46 km, +49-2206-90140, +49-2206-901455,info.overath@kaltenbach-gruppe.de,https://kaltenbach-gruppe.de/marken/bmw-markenwelt/,50.9652958,7.324223099999998
AKG Automobile GmbH,Heerstr. 18,Meinerzhagen,58540,119.47 km, +49-2354-90930, +49-2354-909355,info.meinerzhagen@kaltenbach-gruppe.de,https://www.bmw-autohaus-kaltenbach.de/,51.0961936,7.6716149
Autohaus Rolf Horn GmbH,Eifelring 44-46,Euskirchen,53879,120.72 km, +49-2251-94510, +49-2251-945150,info@rolfhorn.de,https://www.rolfhorn.de/,50.6529724,6.7931592
Müller-Dynamic GmbH,In Bommersfeld 2,Lebach,66822,122.34 km, +49-6881-92020, +49-6881-920250,kontakt@mueller-bmw.com,https://www.mueller-auto.com/markenwelten/bmw,49.4133275,6.8920786
Autohaus Schaal GmbH,Graf-Zeppelin-Str. 4,Bitburg,54634,122.55 km, +49-6561-94700, +49-6561-947015,info@bmw-schaal.de,https://www.autohaus-schaal.de/,49.95026190000001,6.540861199999999
Wiemer Automobile GmbH,Humboldtstr. 137,Köln,51145,122.87 km, +49-2203-37020, +49-2203-370273,mail@wiemer-automobile.de,https://www.bmw.de/de/partner/wiemer-automobile-koeln-34894.html,50.8973682,7.0657198
Autohaus Rhein Würzburg Zw.-Nl. der AH Heermann u. Rhein GmbH,Am Wöllerspfad 7,Lauda-Königshofen,97922,123.48 km, +49-9343-60030, +49-9343-600388,info@rhein-tauberfranken.de,https://www.rhein-bmw.de/,49.5381663,9.740036400000001
Autohaus Rolf Horn GmbH,Industriestr. 37-39,Wesseling,50389,123.72 km, +49-2232-18970, +49-2232-1897-99,info@rolfhorn.de,https://www.rolfhorn.de/,50.8341024,6.9509875
Müller-Dynamic GmbH,Wolfsborn 63-65,Losheim am See,66679,124.09 km, +49-6872-922640, +49-6872-9226419,kontakt@mueller-bmw.com,https://www.mueller-auto.com/markenwelten/bmw,49.5070592,6.7621249
Autohaus Schaal GmbH,Industriestr. 2,Schönecken,54614,126.41 km, +49-6553-92500, +49-6553-925025,info@bmw-schaal.de,https://www.autohaus-schaal.de/,50.1531253,6.4728008
Autohaus Fulda Krah & Enders GmbH,Am Grubener Weg 1,Burghaun,36151,126.66 km, +49-6652-96370, +49-6652-963720,info@bmw-krah-enders-huenfeld.de,https://www.autohaus-krah-enders.de/,50.6910289,9.748802699999999
Autohaus Kaltenbach GmbH,Mülheimer Str. 185-195,Bergisch Gladbach,51469,128.04 km, +49-2202-95380, +49-2202-953855,info.gladbach@kaltenbach-gruppe.de,https://kaltenbach-gruppe.de/marken/bmw-markenwelt/,50.9843808,7.111535399999999
AH Rhein Würzburg Zw.-Nl. der AH Heermann u. Rhein GmbH,Louis-Pasteur-Str. 14,Würzburg,97076,129.78 km, +49-931-278850, +49-931-2788585,info@rhein-wuerzburg.de,https://www.rhein-bmw.de/,49.7931351,9.997335399999999
Auto-Schmidt Rudolf Schmidt e.K. Inh. Elke Schmitt,Industriestr. 3,Saarburg,54439,130.82 km, +49-6581-91750, +49-6581-917555,info@autoschmidt-saarburg.de,https://www.bmw.de/de/partner/autohaus-schmidt-saarburg-00282.html,49.606474,6.574793199999999
Autohaus Backhaus Inh. Christoph Backhaus e.K.,Bahnhofstr. 27,Bad Wildungen,34537,131.24 km, +49-5621-969480, +49-5621-9694828,info@bmw-backhaus.de,https://www.bmw.de/de/partner/autohaus-backhaus-bad-wildungen-01575.ht,51.1205306,9.134587699999999
Seifert Automobile GmbH,Würzburger Str. 22,Bad Kissingen,97688,131.3 km, +49-971-69899000, +49-971-69899009,info@bmwservice-seifert.de,https://www.bmw.de/de/partner/seifert-automobile-bad-kissingen-45053.html,50.1839403,10.0771825
Autohaus Kaltenbach GmbH & Co. KG,Obergraben Hämmern 2,Wipperfürth,51688,131.39 km, +49-2267-88660, +49-2267-886655,info.wipperfuerth@kaltenbach-gruppe.de,https://kaltenbach-gruppe.de/marken/bmw-markenwelt/,51.1249638,7.360919099999999
Autohaus Kaltenbach GmbH & Co. KG,Kölner Str. 137,Lüdenscheid,58509,132.83 km, +49-2351-664020, +49-2351-6640255,info.luedenscheid@kaltenbach-gruppe.de,https://kaltenbach-gruppe.de/marken/bmw-markenwelt/,51.21152319999999,7.616381400000001
Kaltenbach Automobile GmbH,Gildestr. 26,Werdohl,58791,134.75 km, +49-2392-93905, +49-2392-9390-75,info.werdohl@kaltenbach-gruppe.de,https://kaltenbach-gruppe.de/marken/bmw-markenwelt/,51.2616713,7.7864701
Procar Automobile GmbH & Co. KG,Raderthalgürtel 1a,Köln,50968,128.74 km, +49-2234-9150, +49-2234-915106,koelnwest@bmw-procar.de,https://www.procar-automobile.de/,50.9035029,6.9548964
Autohaus Krah & Enders GmbH,Kleine Industriestr. 5,Bad Hersfeld,36251,135.68 km, +49-6621-50000, +49-6621-65150,info@bmw-krah-enders-hersfeld.de,https://www.autohaus-krah-enders.de/,50.8636799,9.7171018
Procar Automobile GmbH & Co. KG,Clevischer Ring 129,Köln,51063,132.22 km, +49-221-179510, +49-221-1701894,koelnnord@bmw-procar.de,https://www.procar-automobile.de/,50.9764191,7.0035123
Autohaus Kaltenbach GmbH & Co. KG,Neuenhaus 104-106,Wermelskirchen,42929,136.74 km, +49-2196-887670, +49-2196-8876755,info.wermelskirchen@kaltenbach-gruppe.de,https://kaltenbach-gruppe.de/marken/bmw-markenwelt/,51.10712720000001,7.165167899999999
Procar Automobile Wuppertal GmbH & Co. KG,Overfeldweg 2,Leverkusen,51371,138.9 km, +49-214-86670, +49-214-68009,leverkusen@bmw-procar.de,https://www.procar-automobile.de/,51.0459204,6.9850781
Autohaus Lange GmbH & Co. KG,Hauptstr. 168 a,Sundern,59846,139.85 km, +49-2933-2003, +49-2933-2239,info@bmw-lange.de,https://www.bmw.de/de/partner/autohaus-lange-sundern-03897.html,51.333211,8.00248
Alfred Wahl GmbH & Co. KG,Briloner Landstr. 72,Korbach,34497,139.93 km, +49-5631-97950, +49-5631-979530,korbach@wahl-group.de,https://www.wahl-group.de/bmw,51.2838121,8.8479426
Autohaus Kaltenbach GmbH & Co. KG,Borner Str. 35,Remscheid,42897,140.07 km, +49-2191-463700, +49-2191-4637055,info.remscheid@kaltenbach-gruppe.de,https://kaltenbach-gruppe.de/marken/bmw-markenwelt/,51.17787440000001,7.2542297
AH Rhein Rhön-Saale Zw.-Nl. der AH Heermann und Rhein GmbH,Ludwig-Elsbett-Straße 1,Salz b. Bad Neustadt/Saale,97616,140.83 km, +49-9771-63530, +49-9771-635322,info@rhein-bmw.de,https://www.rhein-bmw.de/,50.2962832,10.1905705
Autohaus Rhein Schweinfurt Zw.Nl der AH Heermann u. Rhein GmbH,Amsterdamstr. 3,Schweinfurt,97424,141.33 km, +49-9721-675270, +49-9721-6752729,info@rhein-schweinfurt.de,http://www.rhein.bmw/,50.0207111,10.2193064
Tief-Dörfler Automotive GmbH,Am Traugraben 2,Marktsteft,97342,143.3 km, +49-9332-593340, +49-9332-5933466,info@tief-doerfler.de,https://www.tief-doerfler.de/,49.6872282,10.1454064
Proauto Langenfeld e.K.,Schneiderstr. 9,Langenfeld,40764,145.94 km, +49-211-73900, +49-211-7390249,hellerhof@bmw-procar.de,https://www.procar-automobile.de/,51.1196659,6.9703985
Autohaus Rolf Horn GmbH,Bahnstr. 13-15,Düren,52355,148.09 km, +49-2421-968000, +49-2421-66467,info@rolfhorn.de,https://www.rolfhorn.de/,50.78939889999999,6.467355899999999
Procar Automobile Wuppertal GmbH & Co. KG,Frankfurter Damm 15,Solingen,42719,148.29 km, +49-212-59630, +49-212-596338,solingen@bmw-procar.de,https://www.procar-automobile.de/,51.18579279999999,7.0548288
Alfred Wahl GmbH & Co. KG,Möhnestr. 47,Brilon,59929,148.76 km, +49-2961-96260, +49-2961-962624,brilon@wahl-group.de,https://www.wahl-group.de/bmw,51.405841,8.5760165
Kohl automobile GmbH,,Bergheim,50126,149.26 km, +49-2271-76030, +49-2271-760340,info@kohl.de,https://www.kohl.de/bmw,50.9606466,6.6209788
Autohaus Kaltenbach GmbH,Niedereimerfeld 16,Arnsberg,59823,149.36 km, +49-2932-6266, +49-2932-626728,info.arnsberg@kaltenbach-gruppe.de,https://kaltenbach-gruppe.de/marken/bmw-markenwelt/,51.4215057,8.0362289
Procar Automobile Wuppertal GmbH & Co. KG,Hembergstr. 5,Iserlohn,58636,149.64 km, +49-2371-78980, +49-2371-7898499,iserlohn@bmw-procar.de,https://www.procar-automobile.de/,51.3872721,7.705819699999999
Autohaus Schneider GmbH & Co. KG,Wörther Str. 8-12,Schwelm,58332,150.31 km, +49-2336-92820, +49-2336-928230,info@schneider-schwelm.de,https://www.bmw-schneider.de/,51.29384349999999,7.2886916
Procar Automobile Düsseldorf GmbH,Lübecker Str. 16,Dormagen,41540,150.68 km, +49-2133-53010, +49-2133-530140,dormagen@bmw-procar.de,https://www.procar-automobile.de/,51.0904756,6.8130419
Procar Automobile Wuppertal GmbH & Co. KG,Elseyer Straße 77,Hagen,58119,150.77 km, +49-2334-8020-0, +49-2334-8020-499,hagen@bmw-procar.de,https://www.procar-automobile.de/,51.3675715,7.549065199999998
Procar Automobile Wuppertal GmbH & Co. KG,Friedrich-Ebert-Str. 105,Wuppertal,42117,151.62 km, +49-202-25270, +49-202-2527999,wuppertal@bmw-procar.de,https://www.procar-automobile.de/,51.25216169999999,7.1319626
Martin Jacoby GmbH & Co. KG,Walder Straße 418,Hilden,40724,149.59 km, +49-2103-5020, +49-2103-50233,hilden@bmw-procar.de,https://www.procar-automobile.de/,51.1674437,6.9844914
Procar Automobile Düsseldorf GmbH,Willettstr. 7,Mettmann,40822,158.73 km, +49-2104-83340, +49-2104-833434,mettmann@bmw-procar.de,https://www.procar-automobile.de/,51.2548905,6.952478999999999
